GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00811538011044,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Watermelon Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Watermelon Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538011099,Proximo Spirits Inc,Jose Cuervo®,750.0,mL,Jose Cuervo® Authentic Margarita Strawberry Lime Ready to Drink Cocktail - 750 ml,Jose Cuervo® Authentic Margarita Strawberry Lime Ready to Drink Cocktail - 750 ml,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844020791,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Authentic Margarita Classic Lime Light Ready to Drink Cocktail - 4-200 ml,Jose Cuervo® Authentic Margarita Classic Lime Light Ready to Drink Cocktail - 4-200 ml,,EACH,4,9.95,,USA,"Punch, Cocktail & Premix"
00811538013314,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Golden Margarita Strawberry Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Golden Margarita Strawberry Ready to Drink Cocktail - 1.75 L,,EACH,1,12.7,,USA,"Punch, Cocktail & Premix"
00811538019644,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Authentic Margarita Pink Lemonade Ready to Drink Cocktail - 4-200 ml,Jose Cuervo® Authentic Margarita Pink Lemonade Ready to Drink Cocktail - 4-200 ml,,EACH,4,9.95,,USA,"Punch, Cocktail & Premix"
00811538014816,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Raspberry Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Raspberry Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538010979,Proximo Spirits Inc,Jose Cuervo®,750.0,mL,Jose Cuervo® Golden Margarita Original Ready to Drink Cocktail - 750 ml,Jose Cuervo® Golden Margarita Original Ready to Drink Cocktail - 750 ml,,EACH,1,12.7,,USA,"Punch, Cocktail & Premix"
00811538016506,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Authentic Margarita Mango Ready to Drink Cocktail - 4-200 ml,Jose Cuervo® Authentic Margarita Mango Ready to Drink Cocktail - 4-200 ml,,EACH,4,9.95,,USA,"Punch, Cocktail & Premix"
00811538011075,Proximo Spirits Inc,Jose Cuervo®,750.0,mL,Jose Cuervo® Authentic Margarita Classic Lime Ready to Drink Cocktail - 750 ml,Jose Cuervo® Authentic Margarita Classic Lime Ready to Drink Cocktail - 750 ml,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538016957,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Authentic Margarita Watermelon Ready to Drink Cocktail - 4-200 ml,Jose Cuervo® Authentic Margarita Watermelon Ready to Drink Cocktail - 4-200 ml,,EACH,4,9.95,,USA,"Punch, Cocktail & Premix"
